In	IN	IN	(S/S)/NP	(S_113/S_113)/NP_114
an	DT	DT	NP[nb]/N	NP[nb]_135/N_135
Oct.	NNP	NNP	N/N	N_130/N_130
19	CD	CD	N/N	N_123/N_123
review	NN	NN	N	N
of	IN	IN	(NP\NP)/NP	(NP_143\NP_143)/NP_144
The	DT	DT	NP[nb]/N	NP[nb]_151/N_151
Misanthrope	NN	NN	N	N
at	IN	IN	(NP\NP)/NP	(NP_159\NP_159)/NP_160
Chicago	NNP	NNP	N	N
's	POS	POS	(NP[nb]/N)\NP	(NP[nb]_176/N_176)\NP_177
Goodman	NNP	NNP	N/N	N_169/N_169
Theatre	NNP	NNP	N	N
-LRB-	LRB	-LRB-	(NP\NP)/S[dcl]	(NP_188\NP_188)/S[dcl]_189
Revitalized	VBN	VBN	N/N	N_237/N_237
Classics	NNS	NNS	N	N
Take	VBP	VBP	(S[dcl]\NP)/NP	(S[dcl]\NP_196)/NP_197
the	DT	DT	NP[nb]/N	NP[nb]_204/N_204
Stage	NN	NN	N	N
in	IN	IN	((S\NP)\(S\NP))/NP	((S_217\NP_212)_217\(S_217\NP_212)_217)/NP_218
Windy	NNP	NNP	N/N	N_227/N_227
City	NNP	NNP	N	N
,	,	,	,	,
Leisure	NN	NN	(S\S)/(S\S)	(S_275\S_269)_275/(S_275\S_269)_275
&	CC	CC	(S\S)/(S\S)	(S_261\S_255)_261/(S_261\S_255)_261
Arts	NNS	NNS	S\S	S_247\S_247
-RRB-	RRB	-RRB-	RRB	RRB
,	,	,	,	,
the	DT	DT	NP[nb]/N	NP[nb]_53/N_53
role	NN	NN	N	N
of	IN	IN	(NP\NP)/NP	(NP_61\NP_61)/NP_62
Celimene	NNP	NNP	N	N
,	,	,	,	,
played	VBN	VBN	S[pss]\NP	S[pss]\NP_72
by	IN	IN	((S\NP)\(S\NP))/NP	((S_85\NP_80)_85\(S_85\NP_80)_85)/NP_86
Kim	NNP	NNP	N/N	N_95/N_95
Cattrall	NNP	NNP	N	N
,	,	,	,	,
was	VBD	VBD	(S[dcl]\NP)/(S[pss]\NP)	(S[dcl]\NP_10)/(S[pss]_11\NP_10:B)_11
mistakenly	RB	RB	(S\NP)/(S\NP)	(S_46\NP_41)_46/(S_46\NP_41)_46
attributed	VBN	VBN	(S[pss]\NP)/PP	(S[pss]\NP_18)/PP_19
to	TO	TO	PP/NP	PP/NP_24
Christina	NNP	NNP	N/N	N_33/N_33
Haag	NNP	NNP	N	N
.	.	.	.	.

Ms.	NNP	NNP	N/N	N_254/N_254
Haag	NNP	NNP	N	N
plays	VBZ	VBZ	(S[dcl]\NP)/NP	(S[dcl]\NP_241)/NP_242
Elianti	NNP	NNP	N	N
.	.	.	.	.

Rolls-Royce	NNP	NNP	N/N	N_141/N_141
Motor	NNP	NNP	N/N	N_134/N_134
Cars	NNPS	NNPS	N/N	N_127/N_127
Inc.	NNP	NNP	N	N
said	VBD	VBD	(S[dcl]\NP)/S[dcl]	(S[dcl]\NP_8)/S[dcl]_9
it	PRP	PRP	NP	NP
expects	VBZ	VBZ	((S[dcl]\NP)/(S[to]\NP))/NP	((S[dcl]\NP_20)/(S[to]_21\NP_22:B)_21)/NP_22
its	PRP$	PRP$	NP[nb]/N	NP[nb]_36/N_36
U.S.	NNP	NNP	N/N	N_31/N_31
sales	NNS	NNS	N	N
to	TO	TO	(S[to]\NP)/(S[b]\NP)	(S[to]\NP_45)/(S[b]_46\NP_45:B)_46
remain	VB	VB	(S[b]\NP)/(S[adj]\NP)	(S[b]\NP_55)/(S[adj]_56\NP_55:B)_56
steady	JJ	JJ	S[adj]\NP	S[adj]\NP_61
at	IN	IN	((S\NP)\(S\NP))/NP	((S_74\NP_69)_74\(S_74\NP_69)_74)/NP_75
about	IN	IN	(N/N)/(N/N)	(N_98/N_92)_98/(N_98/N_92)_98
1,200	CD	CD	N/N	N_84/N_84
cars	NNS	NNS	N	N
in	IN	IN	((S\NP)\(S\NP))/NP	((S_112\NP_107)_112\(S_112\NP_107)_112)/NP_113
1990	CD	CD	N	N
.	.	.	.	.

The	DT	DT	NP[nb]/N	NP[nb]_224/N_224
luxury	NN	NN	N/N	N_219/N_219
auto	NN	NN	N/N	N_212/N_212
maker	NN	NN	N	N
last	JJ	JJ	((S\NP)/(S\NP))/((S\NP)/(S\NP))	((S_203\NP_195)_203/(S_196\NP_195)_196)_203/((S_203\NP_195)_203/(S_196\NP_195)_196)_203
year	NN	NN	(S\NP)/(S\NP)	(S_180\NP_175)_180/(S_180\NP_175)_180
sold	VBD	VBD	(S[dcl]\NP)/NP	(S[dcl]\NP_136)/NP_137
1,214	CD	CD	N/N	N_146/N_146
cars	NNS	NNS	N	N
in	IN	IN	((S\NP)\(S\NP))/NP	((S_160\NP_155)_160\(S_160\NP_155)_160)/NP_161
the	DT	DT	NP[nb]/N	NP[nb]_168/N_168
U.S.	NNP	NNP	N	N

Howard	NNP	NNP	N/N	N_202/N_202
Mosher	NNP	NNP	N	N
,	,	,	,	,
president	NN	NN	N	N
and	CC	CC	conj	conj
chief	JJ	JJ	N/N	N_222/N_222
executive	NN	NN	N/N	N_215/N_215
officer	NN	NN	N	N
,	,	,	,	,
said	VBD	VBD	(S[dcl]\NP)/S[dcl]	(S[dcl]\NP_96)/S[dcl]_97
he	PRP	PRP	NP	NP
anticipates	VBZ	VBZ	(S[dcl]\NP)/NP	(S[dcl]\NP_104)/NP_105
growth	NN	NN	N	N
for	IN	IN	(NP\NP)/NP	(NP_116\NP_116)/NP_117
the	DT	DT	NP[nb]/N	NP[nb]_138/N_138
luxury	NN	NN	N/N	N_133/N_133
auto	NN	NN	N/N	N_126/N_126
maker	NN	NN	N	N
in	IN	IN	(NP\NP)/NP	(NP_146\NP_146)/NP_147
Britain	NNP	NNP	N	N
and	CC	CC	conj	conj
Europe	NNP	NNP	N	N
,	,	,	,	,
and	CC	CC	conj	conj
in	IN	IN	(NP\NP)/NP	(NP_162\NP_162)/NP_163
Far	JJ	JJ	(N/N)/(N/N)	(N_186/N_180)_186/(N_186/N_180)_186
Eastern	JJ	JJ	N/N	N_172/N_172
markets	NNS	NNS	N	N
.	.	.	.	.

BELL	NNP	NNP	N/N	N_91/N_91
INDUSTRIES	NNP	NNP	N/N	N_84/N_84
Inc.	NNP	NNP	N	N
increased	VBD	VBD	(S[dcl]\NP)/NP	(S[dcl]\NP_8)/NP_9
its	PRP$	PRP$	NP[nb]/N	NP[nb]_16/N_16
quarterly	NN	NN	N	N
to	TO	TO	((S\NP)\(S\NP))/NP	((S_29\NP_24)_29\(S_29\NP_24)_29)/NP_30
10	CD	CD	N/N	N_39/N_39
cents	NNS	NNS	N	N
from	IN	IN	((S\NP)\(S\NP))/NP	((S_53\NP_48)_53\(S_53\NP_48)_53)/NP_54
seven	CD	CD	N/N	N_63/N_63
cents	NNS	NNS	N	N
a	DT	DT	(NP\NP)/N	(NP_72\NP_72)/N_73
share	NN	NN	N	N
.	.	.	.	.

The	DT	DT	NP[nb]/N	NP[nb]_129/N_129
new	JJ	JJ	N/N	N_124/N_124
rate	NN	NN	N	N
will	MD	MD	(S[dcl]\NP)/(S[b]\NP)	(S[dcl]\NP_88)/(S[b]_89\NP_88:B)_89
be	VB	VB	(S[b]\NP)/(S[adj]\NP)	(S[b]\NP_98)/(S[adj]_99\NP_98:B)_99
payable	JJ	JJ	(S[adj]\NP)/NP	(S[adj]\NP_106)/NP_107
Feb.	NNP	NNP	N/N[num]	N/N[num]_112
15	CD	(null)	N[num]	N[num]
.	.	.	.	.

A	DT	DT	NP[nb]/N	NP[nb]_97/N_97
record	NN	NN	N/N	N_92/N_92
date	NN	NN	N	N
has	VBZ	VBZ	(S[dcl]\NP)/(S[pt]\NP)	(S[dcl]\NP_55)/(S[pt]_56\NP_55:B)_56
n't	RB	RB	(S\NP)\(S\NP)	(S_68\NP_63)_68\(S_68\NP_63)_68
been	VBN	VBN	(S[pt]\NP)/(S[pss]\NP)	(S[pt]\NP_77)/(S[pss]_78\NP_77:B)_78
set	VBN	VBN	S[pss]\NP	S[pss]\NP_83
.	.	.	.	.

Bell	NNP	NNP	N	N
,	,	,	,	,
based	VBN	VBN	S[pss]\NP	S[pss]\NP_106
in	IN	IN	((S\NP)\(S\NP))/NP	((S_119\NP_114)_119\(S_119\NP_114)_119)/NP_120
Los	NNP	NNP	N/N	N_129/N_129
Angeles	NNP	NNP	N	N
,	,	,	,	,
makes	VBZ	VBZ	(S[dcl]\NP)/NP	(S[dcl]\NP_57)/NP_58
and	CC	CC	conj	conj
distributes	VBZ	VBZ	(S[dcl]\NP)/NP	(S[dcl]\NP_65)/NP_66
electronic	JJ	JJ	N/N	N_95/N_95
,	,	,	,	,
computer	NN	NN	N/N	N_86/N_86
and	CC	CC	conj	conj
building	NN	NN	N/N	N_77/N_77
products	NNS	NNS	N	N
.	.	.	.	.

